Section,Exercise,PT Prescribed,Video Link,What Good Looks Like,Common Mistake
Daily Mobility Flush,Foam roller T-spine extensions,Yes,https://www.youtube.com/watch?v=9Y11Kc0E0og,"Movement segment-by-segment through upper back only, head supported, ribs stay down.",Letting the lumbar spine extend or the neck fall backward instead of isolating the thoracic region.
Daily Mobility Flush,Standing lunges with hip IR + extension,Yes,https://www.youtube.com/playlist?list=PLU6ArKmdbFYJeIQUMfskXJeO8peVDowJ8,"Pelvis tucked, glutes squeeze to hold extension while stance leg rotates inward.",Arching the low back or letting the hip flex forward to fake internal rotation.
Daily Mobility Flush,World's greatest stretch,No,https://www.youtube.com/watch?v=j3cI3HK9nns,"Deep lunge with tall torso, elbow drives to instep, thoracic rotation opens clean to the ceiling.",Rushing through positions or collapsing the back knee.
Daily Mobility Flush,90/90 hip stretch (seated),No,https://www.youtube.com/watch?v=VYvMMw8z3rE,"Front shin square to body, both sit bones down, long spine as you hinge forward.",Letting the front-leg hip lift off the ground — cheats the IR stretch.
Daily Mobility Flush,Half-kneeling couch stretch,No,https://www.youtube.com/shorts/TML8Vqy-ACQ,"Back shin vertical against wall, glutes squeezed, ribs down, pelvis posteriorly tilted.",Arching the lumbar spine to fake depth instead of locking the pelvis.
Daily Mobility Flush,Hip CARs,No,https://www.youtube.com/watch?v=5kM-o61Z14I,"Slow, controlled full-ROM circles, body locked and stable via bracing.",Shifting the pelvis or low back instead of moving purely from the hip.
Daily Mobility Flush,Cat-cow,No,https://www.youtube.com/watch?v=vuyUwtHl694,"Segmental flexion/extension through whole spine, pelvis and head lead motion.",Rocking head/tail only without moving the intermediate segments.
Pre-Workout Activator,Quadruped banded hip IR / lateral band pull,Yes,https://www.youtube.com/watch?v=EEihm9fb2tk&t=5s,"Quadruped position, band pulls laterally across working hip, rotate femur internally against the band.",Moving the pelvis instead of the hip joint.
"Hip & Core A (Mon) — Warm-up",Banded hip distraction (for IR),No,https://www.youtube.com/watch?v=99pb0NnE4Kw,Band pulls femoral head laterally while you drive into end-range IR.,Letting the band slip too high on the thigh or not enough distraction tension.
"Hip & Core A (Mon) — Warm-up",90/90 hip transitions,No,https://www.youtube.com/watch?v=ogU-azeGe_k,"Both knees stay in contact with the ground as you pivot, pelvis leading rotation.",Picking up the knees or hiking the hip to throw the leg across.
"Hip & Core A (Mon) — Warm-up",Banded glute bridges,No,https://www.youtube.com/watch?v=hI_TzhcMOdI,"Heels drive down, glutes fire first, knees press out against band at top.",Overextending the low back or letting knees cave in (collapsing the band).
"Hip & Core A (Mon) — Main Circuit (3 rounds)",90/90 PAILs/RAILs (hip IR isometric),No,https://www.youtube.com/watch?v=wNNILs6VA5U,"Ramp up to a hard isometric push into the floor, then contract rotators to lift out.",Skipping the progressive ramp or using explosive motion instead of slow isometric.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Side-lying clamshell (banded),No,https://www.youtube.com/watch?v=EG5_gXcfozw,"Heels stacked, pelvis perpendicular to floor, knee opens purely from glute contraction.",Rolling the pelvis backward to get more range and letting the low back do the work.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Single-leg glute bridge,No,https://www.youtube.com/watch?v=qwilebp_3BY,"Hips stay level, drive through heel of working leg, ribs down at top.",Non-working hip dropping toward the floor or arching the low back to push higher.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Hip airplane,No,https://www.youtube.com/watch?v=9svtEV4vkp0,"Hinge forward on stance leg, rotate pelvis IR and ER while shoulders and back leg stay in one line.",Losing the hinge and rotating from the upper body instead of the stance hip.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Copenhagen plank,No,https://www.youtube.com/watch?v=YRRnnZsRs9U,"Straight line head-to-feet (also from top-down view), adductor does the lifting.",Letting hips sag or using the top hand to push up instead of the adductor.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Dead bug — slow march with banded overhead pulldown,Yes,https://www.youtube.com/watch?v=6oiD9Yv0CMQ,"Low back stays flat-pressed to floor the entire time, opposite arm/leg slow and controlled.",Letting the lumbar spine arch off the floor when the limbs extend.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Chin tuck + lifts (front and diagonal),Yes,https://www.youtube.com/shorts/ojeZxd2gwsI,"Gentle nod first (chin to Adam's apple), then a small lift keeping forehead parallel to floor.",Jutting the chin forward or using SCM/big superficial muscles instead of deep flexors.
"Hip & Core A (Mon) — Main Circuit (3 rounds)",Pallof press isometric hold,No,https://www.youtube.com/watch?v=_kLiyBpsRaQ,"Ribs stacked over pelvis, arms fully extended, zero trunk rotation for the hold duration.",Letting the band pull you into rotation or shrugging shoulders up.
"Hip & Core A (Mon) — Finisher",Wall sit,No,https://www.youtube.com/watch?v=pjbGm5EQd1s,"Back flat on wall, knees at 90°, knees stay behind toes, weight through heels.","Knees drifting over toes, or sliding higher as you fatigue."
"Hip & Core A (Mon) — Finisher",Terminal knee extension (TKE) with band — right leg,No,https://www.youtube.com/watch?v=nfJ5QCx_fSg,Quad contracts hard to drive the last 10-15° of knee extension against band resistance.,Hyperextending/locking the knee backward or using the whole body to push against the band.
"Hip & Core A (Mon) — Cool-down",Pigeon pose,No,https://www.youtube.com/watch?v=2vwIdJbOqx4,"Hips square, back leg long and straight, prop under front glute if needed to level pelvis.",Collapsing onto the side of the bent-leg hip or letting the back leg bend/flop out.
"Hip & Core B (Fri) — Warm-up",Cossack squat,No,https://www.youtube.com/watch?v=tpczTeSkHz0,"Loaded heel stays down, working-side toe can lift, chest tall as you sink into deep lateral squat.",Rounding the back or letting the working-side knee collapse inward.
"Hip & Core B (Fri) — Warm-up",Fire hydrants,No,https://www.youtube.com/watch?v=qPdR-PeU7Mc,"Knee drives straight out to the side, hips square to floor, no trunk rotation.",Rotating the whole torso to lift the leg higher or arching the lumbar spine.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Bulgarian split squat,No,https://www.youtube.com/watch?v=-4LVK1crLSw,"Torso leans slightly forward, front shin stacks over midfoot, slow controlled eccentric down.",Front knee caving in or staying too upright (loads the knee instead of the hip).
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Single-leg RDL,No,https://www.youtube.com/watch?v=qRcMROB1l_E,"Hinge at hip with long spine, hips stay square to floor, back leg extends as counterweight.",Rotating the pelvis open or bending the stance knee like a squat instead of hinging.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Side plank with hip abduction (toe pointing to floor),Yes,https://www.youtube.com/watch?v=t6aCHdkyoy0,"Hips stacked and lifted, top toe points DOWN (IR), leg lifts from glute med not TFL.",Pointing toes up/forward — shifts work to TFL and hip flexors instead of glute med.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Banded lateral / monster walks,No,https://www.youtube.com/watch?v=42cYOwpwOIc,"Athletic quarter-squat stance, constant band tension, short controlled steps with level hips.",Standing too tall or letting trailing leg snap back (loses glute tension).
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Bird dog,No,https://www.youtube.com/watch?v=-LRjkbEy-qU,"Opposite arm and leg extend to one straight line, hips and shoulders square to the floor.","Arching the low back, rotating the pelvis, or shrugging the shoulder to raise the arm."
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Dead bug — slow march with banded pulldown,Yes,https://www.youtube.com/watch?v=6oiD9Yv0CMQ,Same as Hip & Core A.,Same as Hip & Core A.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Chin tuck + lifts,Yes,https://www.youtube.com/shorts/ojeZxd2gwsI,Same as Hip & Core A.,Same as Hip & Core A.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Pallof press with rotation,No,https://www.youtube.com/watch?v=RQJ-9NgZXYs,"Controlled rotation driven from the trunk with ribs over pelvis, no hip sway.",Letting the hips swing with the rotation instead of resisting through the core.
"Hip & Core B (Fri) — Main Circuit (3 rounds)",Front plank with shoulder tap,No,https://www.youtube.com/watch?v=QOCn3_iOAro,"Hips perfectly level as hand lifts, feet can widen for stability, core braced.",Hips rocking side to side or dropping as you tap — that's a core failure.
"Hip & Core B (Fri) — Finisher","Wall sit + TKE right leg (see Hip & Core A)",No,,See Hip & Core A entries above.,See Hip & Core A entries above.
"Hip & Core B (Fri) — Cool-down",Pigeon pose,No,https://www.youtube.com/watch?v=2vwIdJbOqx4,See Hip & Core A.,See Hip & Core A.
"Hip & Core B (Fri) — Cool-down",Quadruped adductor rock-back,No,https://www.youtube.com/watch?v=yF8o6I6aSZg,"One leg extends straight out to the side, neutral spine, rock hips back toward the heel.",Rounding the low back or letting the stretched leg's knee bend.
Mobility Deep-Dive (Wed),Quadruped thread-the-needle,No,https://www.youtube.com/watch?v=4EPsl0epycc,"Rotation comes from the thoracic spine, hips stay stacked over knees.",Collapsing the hips/pelvis sideways instead of rotating through the upper back.
Upper Push (Tue Wk1-4 / Sat Wk5+),Dumbbell bench press,No,https://www.youtube.com/watch?v=SHsUIZiNdeY,"Shoulder blades retracted/down, elbows at ~45°, dumbbells track over lower chest.",Flaring elbows to 90° and pressing over face/shoulders (trashes the shoulder).
Upper Push (Tue Wk1-4 / Sat Wk5+),Dumbbell overhead press,No,https://www.youtube.com/watch?v=_RlRDWO2jfg,"Press in scapular plane, ribs down, full lockout overhead without arching low back.",Hyperextending the low back and leaning back to complete the press.
Upper Push (Tue Wk1-4 / Sat Wk5+),Push-ups,No,https://www.youtube.com/watch?v=-Mbr55h3BeQ,"Full ROM chest to floor, straight line head-to-heels, elbows ~45° from torso.","Sagging hips, flared elbows, or head poking forward."
Upper Push (Tue Wk1-4 / Sat Wk5+),Dumbbell lateral raise,No,https://www.youtube.com/shorts/NZsldrqqca8,"Slight forward lean, arms slightly bent, reach out to the walls with elbows higher than wrists.",Shrugging traps up or swinging momentum to raise the weights.
Upper Push (Tue Wk1-4 / Sat Wk5+),Tricep overhead extension,No,https://www.youtube.com/watch?v=popGXI-qs98,"Elbows stay narrow and pointed up, full stretch overhead, lockout with tricep contraction.",Elbows flaring out wide or cutting the ROM short at the stretch.
Upper Pull (Sat Wk1-4 / Sat Wk5+),Pull-ups,No,https://www.youtube.com/watch?v=sIvJTfGxdFo,"Grip just outside shoulders, shoulder blades pull down first, chest rises to bar.","Kipping/swinging, or starting with the shoulders shrugged up."
Upper Pull (Sat Wk1-4 / Sat Wk5+),Lat pulldown,No,https://www.youtube.com/shorts/hnSqbBk15tw,"Medium overhand grip (~1-1.5x shoulder width), drive elbows down-and-back, slight back lean.",Pulling with arms only or going too wide (kills lat ROM).
Upper Pull (Sat Wk1-4 / Sat Wk5+),Single-arm dumbbell row,No,https://www.youtube.com/watch?v=gfUg6qWohTk,"Flat back, dumbbell travels to hip (not armpit), elbow drives back led by the shoulder blade.",Rotating the torso to heave the weight up (cheat reps from the trunk).
Upper Pull (Sat Wk1-4 / Sat Wk5+),Face pulls,No,https://www.youtube.com/watch?v=ljgqer1ZpXg,"Thumbs back/palms out, elbows at or below shoulder height, external rotation at the end.",Pulling with elbows too high — turns it into an upright row for the traps.
Upper Pull (Sat Wk1-4 / Sat Wk5+),Dumbbell bicep curls,No,https://www.youtube.com/watch?v=i1YgFZB6alI,"Elbow stays pinned at the side, full supination at the top, controlled eccentric, no swing.",Swinging the torso or letting elbows drift forward.
Upper Pull (Sat Wk1-4 / Sat Wk5+),Band pull-aparts,No,https://www.youtube.com/watch?v=yIVdFq14LiE,"Thumbs up/palms out, lead with the backs of the hands, squeeze shoulder blades together.",Gripping overhand and cranking with traps instead of rear delts.
